question_id,question_category,method,run_number,duration_ms,tokens_in,tokens_out,cost_usd,cluster_id,profile_used,was_stale,was_downgraded,factsheet_version,was_new_session,response_length_chars,response_path,cache_creation_input_tokens,cache_read_input_tokens,reported_total_cost_usd,model,num_turns,error,quality_score,quality_notes
A1,A_factual,direct_resume,1,9175,43706,299,0.1489758,,agent_readonly,,,,false,555,responses/direct_resume_A1_run1.txt,0,44576,0.24829299999999999,MiniMax-M2.7,2,,3,all clusters fields present
A2,A_factual,direct_resume,1,34406,6360,1596,0.193452,,agent_readonly,,,,false,854,responses/direct_resume_A2_run1.txt,0,501440,0.32242,MiniMax-M2.7,11,,1,missing some cluster event types; matched 10/19
A3,A_factual,direct_resume,1,7890,8215,345,0.056815199999999996,,agent_readonly,,,,false,1051,responses/direct_resume_A3_run1.txt,0,89984,0.094692,MiniMax-M2.7,2,,1,captures only part of caller-facing stale behavior; matched 3/6
A5,A_factual,direct_resume,1,22014,5645,232,0.0644694,,agent_readonly,,,,false,123,responses/direct_resume_A5_run1.txt,0,146848,0.107449,MiniMax-M2.7,3,,3,default 30 identified
B2,B_reasoning,direct_resume,1,42468,6046,1250,0.0981552,,agent_readonly,,,,false,1996,responses/direct_resume_B2_run1.txt,0,204224,0.163592,MiniMax-M2.7,5,,3,walks orphan recovery path
A1,A_factual,direct_resume,2,9465,6074,206,0.035904,,agent_readonly,,,,false,556,responses/direct_resume_A1_run2.txt,0,48640,0.059840000000000004,MiniMax-M2.7,1,,3,all clusters fields present
A2,A_factual,direct_resume,2,16051,2668,300,0.0281904,,agent_readonly,,,,false,921,responses/direct_resume_A2_run2.txt,0,52288,0.046984,MiniMax-M2.7,1,,1,missing some cluster event types; matched 10/19
A3,A_factual,direct_resume,2,11148,2781,254,0.0279066,,agent_readonly,,,,false,852,responses/direct_resume_A3_run2.txt,0,52512,0.046511000000000004,MiniMax-M2.7,1,,1,captures only part of caller-facing stale behavior; matched 3/6
A5,A_factual,direct_resume,2,6994,2721,40,0.024622199999999997,,agent_readonly,,,,false,97,responses/direct_resume_A5_run2.txt,0,52864,0.041037000000000004,MiniMax-M2.7,1,,3,default 30 identified
B2,B_reasoning,direct_resume,2,14287,2551,461,0.0305136,,agent_readonly,,,,false,1690,responses/direct_resume_B2_run2.txt,0,53152,0.050856,MiniMax-M2.7,1,,3,walks orphan recovery path
A1,A_factual,cluster_consult,1,3600,0,80,0.0012,agentsessionrouter-codebase-reprepared-2026-05-15-targeted,bare,false,false,1,true,195,responses/cluster_consult_A1_run1.txt,,,,,,,3,all clusters fields present
A2,A_factual,cluster_consult,1,14761,8422,399,0.031251,agentsessionrouter-codebase-reprepared-2026-05-15-targeted,bare,false,false,1,true,435,responses/cluster_consult_A2_run1.txt,,,,,,,2,missing some cluster event types; matched 13/19
A3,A_factual,cluster_consult,1,27889,8423,522,0.033099,agentsessionrouter-codebase-reprepared-2026-05-15-targeted,bare,false,false,1,true,741,responses/cluster_consult_A3_run1.txt,,,,,,,1,captures only part of caller-facing stale behavior; matched 3/6
A5,A_factual,cluster_consult,1,5966,0,262,0.00393,agentsessionrouter-codebase-reprepared-2026-05-15-targeted,bare,false,false,1,true,152,responses/cluster_consult_A5_run1.txt,,,,,,,3,default 30 identified
B2,B_reasoning,cluster_consult,1,16124,0,712,0.01068,agentsessionrouter-codebase-reprepared-2026-05-15-targeted,bare,false,false,1,true,1409,responses/cluster_consult_B2_run1.txt,,,,,,,2,partial orphan recovery path; matched 5/6
A1,A_factual,cluster_consult,2,14346,8421,138,0.027333,agentsessionrouter-codebase-reprepared-2026-05-15-targeted,bare,false,false,1,true,207,responses/cluster_consult_A1_run2.txt,,,,,,,3,all clusters fields present
A2,A_factual,cluster_consult,2,15010,8423,431,0.031734,agentsessionrouter-codebase-reprepared-2026-05-15-targeted,bare,false,false,1,true,467,responses/cluster_consult_A2_run2.txt,,,,,,,2,missing some cluster event types; matched 13/19
A3,A_factual,cluster_consult,2,9103,8424,386,0.031062,agentsessionrouter-codebase-reprepared-2026-05-15-targeted,bare,false,false,1,true,693,responses/cluster_consult_A3_run2.txt,,,,,,,1,captures only part of caller-facing stale behavior; matched 3/6
A5,A_factual,cluster_consult,2,4750,0,242,0.00363,agentsessionrouter-codebase-reprepared-2026-05-15-targeted,bare,false,false,1,true,76,responses/cluster_consult_A5_run2.txt,,,,,,,3,default 30 identified
B2,B_reasoning,cluster_consult,2,16600,0,669,0.010035,agentsessionrouter-codebase-reprepared-2026-05-15-targeted,bare,false,false,1,true,1491,responses/cluster_consult_B2_run2.txt,,,,,,,2,partial orphan recovery path; matched 5/6
